random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.7747933884297521,6,86,0.06598654139229423,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1
3,1,[None],0.9173553719008264,1,433,0.154365483538747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,2,[None],0.884297520661157,1,407,0.7071504865037695,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0
9,0,[None],0.9524793388429752,4,485,0.9624848476471691,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1
9,1,[None],0.9194214876033057,5,470,0.43310997043024463,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
9,2,[None],0.9328512396694214,1,453,0.8863358422198889,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
27,0,[None],0.8925619834710744,2,446,0.5398028996737351,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1
27,1,[None],0.9204545454545454,1,435,1.0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
27,2,[None],0.9483471074380165,1,221,0.6609026887336779,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
81,0,[None],0.9607438016528925,3,49,0.6845487934856448,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
81,1,[None],0.8409090909090908,1,454,0.13706163063758742,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0
81,2,[None],0.9318181818181819,7,469,0.8949325230772212,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.9690082644628099,9,482,0.8085889507683447,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1
243,1,[None],0.8987603305785126,3,259,0.7033159399362827,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
243,2,[None],0.9338842975206612,6,443,0.4727427102367873,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
729,0,[None],0.981404958677686,1,221,0.9536891780295315,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0
729,1,[None],0.8739669421487603,5,93,0.969615043136794,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
729,2,[None],0.9183884297520662,5,428,0.001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.9566115702479339,1,433,0.7168720896859089,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1
2187,1,[None],0.884297520661157,1,445,0.23482535114788722,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1
2187,2,[None],0.8254132231404959,1,15,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.8657024793388429,6,155,0.5222975678973737,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
6561,1,[None],0.9070247933884297,3,19,0.609954769645917,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0
6561,2,[None],0.9194214876033058,1,454,0.9033646457252852,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1
19683,0,[None],0.9359504132231405,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
19683,1,[None],0.8780991735537189,4,475,0.7322619478695936,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
19683,2,[None],0.8574380165289257,3,49,0.6845487934856448,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
59049,0,[None],0.9028925619834711,1,114,0.42768068083763006,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
59049,1,[None],0.9586776859504132,4,58,0.8632403224497179,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1
59049,2,[None],0.8057851239669421,5,240,0.5768087939109838,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
