random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.9611111111111111,3,39,0.29046170146085426,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.9222222222222222,1,454,0.2595212016184169,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9888888888888889,6,78,0.15683852581586644,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.951388888888889,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.9527777777777778,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.9861111111111112,8,430,0.007945178400659513,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.9555555555555555,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.9583333333333333,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.9583333333333334,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,0,0,1,1
81,0,[None],0.975,6,86,0.06598654139229423,1,1,1,1,1,1,1,1,1,0,1,1
81,1,[None],0.9625,4,61,0.49568173320115894,1,1,1,1,1,1,0,1,1,1,1,1
81,2,[None],0.9263888888888888,6,86,0.06598654139229423,1,1,1,1,0,1,1,1,1,1,1,1
243,0,[None],0.9777777777777777,2,152,0.5252316752006057,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.9444444444444444,1,407,0.7071504865037695,1,1,1,1,0,1,1,1,1,1,1,1
243,2,[None],0.9875,2,152,0.5252316752006057,1,1,1,1,1,1,1,1,1,0,1,1
729,0,[None],0.9916666666666667,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,0,1,1
729,1,[None],0.9555555555555556,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.9527777777777778,2,152,0.5252316752006057,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.9527777777777778,4,146,0.612241041827657,1,1,1,1,0,1,1,1,0,1,1,1
2187,1,[None],0.9527777777777778,5,93,0.969615043136794,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.9638888888888889,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.9583333333333333,1,16,1.0,1,1,1,1,0,1,1,1,1,1,1,1
6561,1,[None],0.9305555555555556,3,259,0.8795771726242003,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.9722222222222222,2,146,0.366995481450398,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.9472222222222223,5,296,0.047403962307277725,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.9625,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.9555555555555556,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,0,1,1,1
59049,0,[None],0.9500000000000001,6,86,0.06598654139229423,1,1,1,1,0,1,1,1,0,1,1,1
59049,1,[None],0.9722222222222222,5,296,0.047403962307277725,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.9583333333333333,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1
